Batch,Semester,Course Code,Course Title,Credit,Credit Hour,Section,Faculty Initial,Facuty Name
,,,,,3,A2,SDS,Samirah Dilshad Salsabil
,,CSE 3101,Formal Languages and Compilers,3,3,A,TD,Tauhid
,,CSE 3102,Formal Languages and Compilers Sessional,1.5,3,A1,TD,Tauhid
,,,,,3,A2,TD,Tauhid
,,STA 3001,Statistics,3,3,A,ABM,Md. Abdullah Bin Masud
,,CSE 3103,"Microprocessor, Microcontroller and Assembly Language",3,3,A,MOH,Prof Mohammad Mobarak Hossain
,,CSE 3104,"Microprocessor, Microcontroller and Assembly Language Sessional",1.5,3,A1,MOH,Prof Mohammad Mobarak Hossain
,,,,,3,A2,MOH,Prof Mohammad Mobarak Hossain
,,CSE 3105,Operating Systems,3,3,A,TD,Tauhid
,,CSE 3106,Operating Systems Sessional,0.75,1.5,A1,TD,Tauhid
,,,,,1.5,A2,TD,Tauhid
,,CSE 3107,Software Engineering,3,3,A,FHM,Md. Fazle Hasan Mihad
,,,Total,20.25,36,13,,
,,,,,,,,
33rd,6th,CSE 3200,Advanced Software/Hardware Development Project,0.75,1.5,A1,EKH,Ekhfa Hossain
,,,,,1.5,A2,TA,Tahsin Alam
,,CSE 3201,Data Communication and Computer Networks,3,3,A,FHM,Md. Fazle Hasan Mihad
,,CSE 3202,Data Communication and Computer Networks Sessional,1.5,3,A1,FHM,Md. Fazle Hasan Mihad
,,,,,3,A2,FHM,Md. Fazle Hasan Mihad
,,CSE 3203,Machine learning,3,3,A,IAZ,Imam Abu Zubaer
,,CSE 3204,Machine learning sessional,1.5,3,A1,MDS,Md. Delwar Shahadat Deepu
,,,,,3,A2,MDS,Md. Delwar Shahadat Deepu
,,CSE 3205,Information System Analysis and Design,3,3,A,EJ,Easrat Jahan
,,CSE 3206,Information System Analysis and Design Sessional,0.75,1.5,A1,SDS,Samirah Dilshad Salsabil
,,,,,1.5,A2,TD,Tauhid
,,CSE 3207,Computer Architecture,3,3,A,SDS,Samirah Dilshad Salsabil
,,CSE 3209,Software Project Management,3,3,A,FA,Faria Afrin Niha
,,CSE 3210,Mobile Application Development Lab,0.75,1.5,A1,SAK,Shad Al Kaiser
,,,,,1.5,A2,TD,Tauhid
,,,Total,20.25,36,15,,
,,,,,,,,
32nd,7th,CSE 4100,"Thesis or Project - I, Internship based (Phase I, to be completed in 4th Year 7th Semester)",3,3,A,FI,Faisal Imran
,,CSE 4101,IT Service Management,3,3,A,FA,Faria Afrin Niha
,,CSE 4103,Cybersecurity,3,3,A,DRI,Prof. Dr. Rabiul Islam
,,CSE 4104,Cybersecurity Sessional,1.5,3,A1,DRI,Prof. Dr. Rabiul Islam
,,,,,3,A2,DRI,Prof. Dr. Rabiul Islam
,,CSE 4105,Digital Signal and Image Processing,3,3,A,FA,Faria Afrin Niha
,,PPD 4001,Personal and Professional Development,2,1.5,A,DKA,Dr. Kazi Abdul Mannan
,,CSE 4117,Neural Networks and Deep Learning,3,3,A,MMH,Md Mehedi Hasan
,,CSE 4118,Neural Networks and Deep Learning Sessional,1.5,3,A1,MMH,Md Mehedi Hasan
